time,open,high,low,close,Volume
1723635000,70890,71020,70305,70343,2563
1723642200,70349,70560,70226,70300,1425
1723649400,70308,70308,70035,70111,1152
1723656600,70123,70172,70100,70152,289
1723779000,70300,70398,70279,70385,514
1723786200,70380,70480,70348,70391,561
1723793400,70370,70633,70330,70593,694
1723800600,70572,70790,70550,70710,759
1723807800,70710,71335,70626,71192,3238
1723815000,71199,71475,70938,71165,2332
1723822200,71160,71408,71128,71399,1085
1723829400,71407,71418,71306,71395,400
1724038200,71458,71644,71458,71535,1320
1724045400,71535,71693,71520,71648,654
1724052600,71635,71720,71575,71625,509
1724059800,71625,71625,71181,71221,1007
1724067000,71230,71406,71204,71300,780
1724074200,71312,71631,71201,71614,1014
1724081400,71582,71684,71485,71560,633
1724088600,71568,71600,71528,71598,148
1724124600,71535,71600,71510,71568,624
1724131800,71580,71636,71403,71603,649
1724139000,71600,72143,71600,72140,1808
1724146200,72140,72147,72042,72121,750
1724153400,72125,72216,72045,72202,1055
1724160600,72196,72272,71639,71728,2349
1724167800,71730,71863,71523,71815,953
1724175000,71811,71811,71738,71765,133
1724211000,71857,72030,71826,71990,572
1724218200,71985,72099,71935,71972,761
1724225400,71959,71964,71779,71838,686
1724232600,71840,71890,71751,71865,532
1724239800,71850,71943,71770,71790,512
1724247000,71780,71820,71470,71779,2115
1724254200,71818,71855,71702,71816,492
1724261400,71836,71856,71805,71856,168
1724297400,71670,71725,71607,71690,783
1724304600,71687,71884,71625,71759,789
1724311800,71779,71865,71673,71749,568
1724319000,71743,71824,71685,71695,576
1724326200,71707,71707,71400,71454,1556
1724333400,71451,71451,70894,71049,3420
1724340600,71070,71247,71024,71176,670
1724347800,71180,71214,71172,71185,140
1724383800,71474,71474,71360,71429,588
1724391000,71421,71432,71302,71367,495
1724398200,71357,71576,71355,71566,766
1724405400,71565,71598,71436,71532,585
1724412600,71511,71635,71488,71571,591
1724419800,71546,71940,71415,71905,2963
1724427000,71893,71930,71590,71777,1064
1724434200,71777,71826,71720,71770,268
1724643000,71852,71852,71755,71793,434
1724650200,71800,72026,71790,72018,737
1724657400,72017,72212,72015,72208,1050
1724664600,72195,72239,72116,72127,691
1724671800,72130,72251,72120,72201,467
1724679000,72203,72226,71864,71905,1353
1724686200,71899,72158,71899,72062,452
1724693400,72060,72075,72000,72067,160
1724729400,71898,71932,71770,71915,776
1724736600,71921,72062,71917,71939,534
1724743800,71936,71969,71752,71902,615
1724751000,71915,71944,71819,71917,381
1724758200,71906,71985,71740,71780,631
1724765400,71810,72118,71792,72038,1227
1724772600,72035,72084,71890,72075,539
1724779800,72071,72160,72059,72160,358
1724815800,71980,72075,71870,71877,738
1724823000,71873,71924,71750,71870,1009
1724830200,71870,71925,71830,71907,336
1724837400,71894,71934,71727,71804,748
1724844600,71800,71899,71514,71879,1893
1724851800,71866,71876,71639,71797,559
1724859000,71810,71860,71554,71718,718
1724866200,71705,71784,71701,71732,189
1724902200,71880,72013,71877,71953,905
1724909400,71967,72063,71955,72000,642
1724916600,71988,72035,71938,71969,341
1724923800,71975,72140,71975,72100,907
1724931000,72101,72125,71700,71813,2229
1724938200,71825,72160,71825,72010,1511
1724945400,72020,72249,71988,72223,1042
1724952600,72233,72244,72130,72169,307
1724988600,71907,71926,71856,71892,996
1724995800,71905,72140,71891,72016,707
1725003000,72025,72199,72025,72133,513
1725010200,72115,72168,71939,72080,854
1725017400,72083,72155,71920,71970,898
1725024600,71946,72022,71675,71736,2094
1725031800,71711,71764,71521,71553,1526
1725039000,71565,71670,71531,71651,287
1725247800,71554,71582,71426,71515,673
1725255000,71531,71617,71494,71547,511
1725262200,71543,71800,71532,71650,647
1725269400,71654,71690,71560,71619,364
1725276600,71612,71695,71588,71588,269
1725283800,71616,71655,71575,71633,220
1725291000,71643,71660,71600,71605,138
1725298200,71605,71626,71579,71626,80
1725334200,71629,71629,71474,71490,428
1725341400,71497,71644,71456,71640,684
1725348600,71624,71765,71609,71716,762
1725355800,71716,71721,71468,71525,1158
1725363000,71529,71678,71270,71437,1518
1725370200,71402,71434,71001,71190,2144
1725377400,71170,71397,71170,71380,551
1725384600,71388,71397,71343,71386,187
1725420600,71440,71511,71400,71487,483
1725427800,71492,71547,71208,71210,1407
1725435000,71210,71259,70913,70985,1410
1725442200,70986,71396,70970,71390,1276
1725449400,71390,71395,71224,71266,433
1725456600,71266,71595,71180,71475,1642
1725463800,71475,71555,71422,71484,310
1725471000,71484,71485,71440,71470,91
1725507000,71481,71503,71406,71455,331
1725514200,71453,71728,71433,71719,1084
1725521400,71720,71980,71691,71973,1498
1725528600,71959,71998,71905,71922,668
1725535800,71937,72120,71891,72014,1681
1725543000,72020,72049,71683,71735,2044
1725550200,71736,71913,71729,71890,372
1725557400,71880,71955,71870,71948,241
1725593400,71970,72064,71956,72040,400
1725600600,72042,72068,71977,72034,565
1725607800,72034,72048,71922,71971,480
1725615000,71961,72046,71955,72020,267
1725622200,72020,72235,71747,71775,3328
1725629400,71775,71950,71573,71900,2261
1725636600,71900,71906,71220,71439,2774
1725643800,71439,71480,71370,71460,332
1725852600,71504,71570,71435,71455,716
1725859800,71454,71456,71127,71375,1124
1725867000,71372,71461,71330,71437,408
1725874200,71421,71524,71400,71501,763
1725881400,71502,71670,71480,71605,718
1725888600,71610,71635,71403,71467,655
1725895800,71467,71679,71467,71644,397
1725903000,71640,71700,71550,71583,246
1725939000,71695,71695,71580,71647,488
1725946200,71652,71750,71628,71719,642
1725953400,71724,71775,71601,71631,506
1725960600,71630,71814,71625,71690,629
1725967800,71710,71940,71708,71896,946
1725975000,71902,71902,71622,71877,1056
1725982200,71880,71999,71821,71900,680
1725989400,71897,71935,71881,71903,175
1726025400,72001,72097,72000,72088,721
1726032600,72090,72225,72042,72210,1375
1726039800,72208,72208,72060,72095,577
1726047000,72088,72131,72060,72120,273
1726054200,72120,72144,71662,71766,2563
1726061400,71760,71924,71608,71875,1222
1726068600,71897,72042,71834,71927,740
1726075800,71927,71960,71890,71949,116
1726111800,71918,72009,71884,71999,564
1726119000,71997,72065,71909,71955,625
1726126200,71960,72000,71927,71967,487
1726133400,71957,72021,71870,71932,463
1726140600,71909,72567,71901,72515,3427
1726147800,72514,72870,72450,72836,2940
1726155000,72835,72860,72650,72791,1029
1726162200,72789,72880,72779,72861,309
1726198200,73145,73275,73128,73265,1078
1726205400,73261,73275,73090,73126,938
1726212600,73149,73251,73149,73203,663
1726219800,73210,73255,73106,73122,642
1726227000,73137,73488,73081,73402,1411
1726234200,73386,73545,73299,73370,1111
1726241400,73377,73613,73369,73500,703
1726248600,73500,73542,73485,73510,254
1726457400,73600,73728,73599,73720,642
1726464600,73723,73753,73504,73508,800
1726471800,73520,73695,73500,73670,689
1726479000,73671,73672,73370,73550,562
1726486200,73540,73593,73467,73539,311
1726493400,73539,73680,73375,73480,612
1726500600,73482,73550,73445,73521,173
1726507800,73502,73520,73475,73499,103
1726543800,73298,73476,73298,73365,513
1726551000,73365,73598,73345,73514,450
1726558200,73532,73550,73220,73282,1097
1726565400,73282,73305,73154,73295,972
1726572600,73292,73422,73126,73290,1156
1726579800,73294,73420,73120,73120,821
1726587000,73130,73160,72938,73039,1087
1726594200,73035,73150,72998,73150,175
1726630200,73199,73272,72989,73014,708
1726637400,73017,73142,73006,73097,478
1726644600,73097,73155,73016,73070,629
1726651800,73064,73269,73021,73260,672
1726659000,73249,73329,73182,73270,478
1726666200,73243,73243,73048,73127,657
1726673400,73116,73185,73040,73118,296
